;NOME;IDA_2020;IDA_2021;IDA_2022;cluster
1140;ALUNO-1141;6.0;6.9;6.166666666666667;1
1149;ALUNO-1150;9.5;5.8;6.416666666666666;2
1155;ALUNO-1156;8.666666666666666;6.5;5.555555555555556;2
1158;ALUNO-1159;9.333333333333334;8.6;6.844444444444444;2
1160;ALUNO-1161;4.666666666666667;6.9;6.5;1
1164;ALUNO-1165;9.0;7.2;6.666666666666667;2
1166;ALUNO-1167;4.5;1.8;3.5;3
1167;ALUNO-1168;10.0;6.9;6.666666666666666;2
1169;ALUNO-1170;9.0;0.0;4.75;0
1170;ALUNO-1171;8.333333333333334;9.2;7.911111111111111;2
1173;ALUNO-1174;5.0;6.0;5.877777777777777;1
1175;ALUNO-1176;6.333333333333333;8.5;8.555555555555555;1
1180;ALUNO-1181;10.0;7.6;7.083333333333334;2
1189;ALUNO-1190;8.0;6.1;5.000000000000001;0
1190;ALUNO-1191;3.333333333333333;1.9;7.888888888888889;3
1194;ALUNO-1195;7.0;7.4;7.955555555555556;1
1214;ALUNO-1215;10.0;6.3;8.5;2
1216;ALUNO-1217;8.0;7.6;8.533333333333333;2
1218;ALUNO-1219;3.8333333333333335;7.9;8.055555555555555;1
1222;ALUNO-1223;9.5;4.7;5.944444444444444;0
1225;ALUNO-1226;9.5;4.7;4.0;0
1229;ALUNO-1230;4.666666666666667;5.8;7.611111111111111;1
1230;ALUNO-1231;7.0;3.1;2.833333333333333;0
1236;ALUNO-1237;5.5;2.3;3.733333333333334;3
1243;ALUNO-1244;9.5;5.8;8.416666666666666;2
1247;ALUNO-1248;7.666666666666667;6.5;3.711111111111112;0
1249;ALUNO-1250;3.333333333333333;5.8;4.388888888888888;3
1250;ALUNO-1251;7.666666666666667;8.1;8.055555555555555;2
1259;ALUNO-1260;9.0;3.9;7.166666666666667;0
1263;ALUNO-1264;9.5;3.1;4.333333333333334;0
1274;ALUNO-1275;10.0;7.8;5.416666666666667;2
1277;ALUNO-1278;10.0;4.6;6.0;0
1284;ALUNO-1285;9.0;5.9;7.5;2
1286;ALUNO-1287;8.5;5.3;5.166666666666667;0
1288;ALUNO-1289;3.0;4.8;5.644444444444443;3
1291;ALUNO-1292;9.0;6.7;7.155555555555556;2
1297;ALUNO-1298;9.0;6.4;4.583333333333334;0
1318;ALUNO-1319;10.0;6.3;7.25;2
1322;ALUNO-1323;10.0;5.1;4.916666666666667;0
1323;ALUNO-1324;10.0;3.4;3.833333333333333;0
1337;ALUNO-1338;9.5;5.2;5.166666666666667;0
1342;ALUNO-1343;0.0;1.3;2.0;3
1347;ALUNO-1348;6.333333333333333;6.9;5.900000000000001;1
