;NOME;IPS_2020;IPS_2021;IPS_2022;cluster
584;ALUNO-585;4.375;4.4;5.0;2
585;ALUNO-586;7.5;7.5;7.5;1
587;ALUNO-588;7.5;7.5;5.625;3
593;ALUNO-594;6.875;7.5;7.5;1
601;ALUNO-602;4.375;7.5;5.0;0
602;ALUNO-603;5.0;3.1;5.0;2
607;ALUNO-608;6.875;5.0;5.625;3
612;ALUNO-613;5.0;3.1;5.0;2
614;ALUNO-615;7.5;7.5;7.5;1
621;ALUNO-622;7.5;7.5;7.5;1
623;ALUNO-624;2.5;7.5;5.0;0
633;ALUNO-634;4.375;6.3;3.75;0
637;ALUNO-638;5.0;6.9;5.0;0
641;ALUNO-642;7.5;6.3;5.0;3
643;ALUNO-644;8.75;5.0;6.25;3
644;ALUNO-645;7.5;7.5;7.5;1
646;ALUNO-647;5.0;5.0;5.0;0
656;ALUNO-657;7.5;7.5;8.75;1
662;ALUNO-663;6.25;7.5;7.5;1
663;ALUNO-664;10.0;7.5;9.375;1
667;ALUNO-668;7.5;7.5;7.5;1
680;ALUNO-681;5.0;6.9;7.5;0
685;ALUNO-686;5.0;7.5;6.875;0
688;ALUNO-689;5.0;7.5;5.0;0
692;ALUNO-693;7.5;7.5;7.5;1
694;ALUNO-695;7.5;7.5;7.5;1
699;ALUNO-700;7.5;7.5;5.625;3
702;ALUNO-703;7.5;7.5;7.5;1
706;ALUNO-707;7.5;7.5;7.5;1
707;ALUNO-708;7.5;7.5;7.5;1
709;ALUNO-710;6.25;7.5;7.5;1
720;ALUNO-721;5.0;5.6;5.0;0
731;ALUNO-732;7.5;7.5;8.75;1
736;ALUNO-737;7.5;7.5;7.5;1
737;ALUNO-738;6.875;6.3;5.625;3
738;ALUNO-739;10.0;8.8;9.375;1
742;ALUNO-743;5.0;5.0;5.625;0
745;ALUNO-746;7.5;8.8;6.25;1
746;ALUNO-747;5.625;7.5;5.625;0
752;ALUNO-753;7.5;7.5;7.5;1
754;ALUNO-755;5.0;6.9;5.0;0
756;ALUNO-757;7.5;7.5;7.5;1
759;ALUNO-760;7.5;7.5;7.5;1
765;ALUNO-766;7.5;7.5;7.5;1
767;ALUNO-768;4.375;6.3;5.625;0
772;ALUNO-773;7.5;7.5;7.5;1
782;ALUNO-783;7.5;7.5;5.0;3
789;ALUNO-790;7.5;7.5;7.5;1
791;ALUNO-792;4.375;5.0;5.0;0
793;ALUNO-794;6.25;6.3;5.625;3
795;ALUNO-796;7.5;7.5;7.5;1
806;ALUNO-807;6.25;5.0;8.75;1
810;ALUNO-811;7.5;7.5;5.0;3
813;ALUNO-814;5.625;7.5;7.5;1
816;ALUNO-817;7.5;7.5;7.5;1
819;ALUNO-820;5.0;7.5;5.625;0
822;ALUNO-823;8.125;7.5;8.75;1
823;ALUNO-824;6.25;7.5;7.5;1
824;ALUNO-825;3.75;6.3;4.375;0
827;ALUNO-828;5.625;7.5;8.125;1
828;ALUNO-829;7.5;7.5;5.625;3
829;ALUNO-830;10.0;7.5;6.25;3
830;ALUNO-831;7.5;7.5;7.5;1
834;ALUNO-835;3.125;5.6;5.0;0
839;ALUNO-840;4.375;4.4;6.875;2
847;ALUNO-848;6.875;7.5;7.5;1
849;ALUNO-850;7.5;7.5;5.0;3
850;ALUNO-851;7.5;7.5;7.5;1
854;ALUNO-855;7.5;7.5;7.5;1
857;ALUNO-858;6.875;7.5;5.0;3
860;ALUNO-861;7.5;7.5;6.875;1
861;ALUNO-862;6.875;7.5;7.5;1
865;ALUNO-866;7.5;7.5;7.5;1
871;ALUNO-872;4.375;5.0;5.625;0
876;ALUNO-877;7.5;7.5;7.5;1
885;ALUNO-886;7.5;7.5;7.5;1
888;ALUNO-889;7.5;7.5;7.5;1
901;ALUNO-902;7.5;7.5;7.5;1
902;ALUNO-903;7.5;7.5;7.5;1
908;ALUNO-909;7.5;7.5;5.625;3
909;ALUNO-910;3.125;7.5;5.0;0
910;ALUNO-911;3.75;5.0;5.0;0
915;ALUNO-916;7.5;7.5;9.375;1
918;ALUNO-919;7.5;7.5;6.875;1
921;ALUNO-922;4.375;6.3;5.0;0
922;ALUNO-923;5.0;5.0;6.875;0
925;ALUNO-926;5.0;5.0;5.625;0
926;ALUNO-927;7.5;7.5;5.625;3
929;ALUNO-930;9.375;7.5;9.375;1
930;ALUNO-931;7.5;6.9;6.875;1
931;ALUNO-932;6.25;7.5;4.375;3
936;ALUNO-937;7.5;7.5;5.625;3
943;ALUNO-944;6.875;5.6;7.5;1
947;ALUNO-948;7.5;7.5;7.5;1
956;ALUNO-957;7.5;7.5;5.625;3
957;ALUNO-958;8.125;6.9;5.0;3
960;ALUNO-961;4.375;6.3;5.625;0
963;ALUNO-964;7.5;7.5;7.5;1
982;ALUNO-983;3.75;7.5;5.625;0
983;ALUNO-984;7.5;7.5;6.875;1
988;ALUNO-989;7.5;7.5;7.5;1
990;ALUNO-991;6.25;7.5;4.375;3
992;ALUNO-993;4.375;5.0;5.625;0
993;ALUNO-994;6.875;7.5;7.5;1
995;ALUNO-996;7.5;7.5;5.0;3
996;ALUNO-997;10.0;5.0;4.375;3
1001;ALUNO-1002;7.5;7.5;6.875;1
1003;ALUNO-1004;6.25;6.9;7.5;1
1009;ALUNO-1010;5.0;7.5;7.5;0
1013;ALUNO-1014;7.5;7.5;7.5;1
1014;ALUNO-1015;7.5;7.5;9.375;1
1016;ALUNO-1017;7.5;7.5;5.625;3
1021;ALUNO-1022;7.5;7.5;7.5;1
1027;ALUNO-1028;7.5;7.5;4.375;3
1028;ALUNO-1029;7.5;7.5;7.5;1
1030;ALUNO-1031;7.5;7.5;7.5;1
1033;ALUNO-1034;7.5;7.5;7.5;1
1050;ALUNO-1051;7.5;7.5;5.625;3
1066;ALUNO-1067;7.5;7.5;7.5;1
1069;ALUNO-1070;7.5;7.5;5.0;3
1071;ALUNO-1072;7.5;7.5;7.5;1
1074;ALUNO-1075;10.0;7.5;5.625;3
1077;ALUNO-1078;6.875;8.1;7.5;1
1083;ALUNO-1084;4.375;6.9;7.5;0
1084;ALUNO-1085;7.5;7.5;7.5;1
1089;ALUNO-1090;7.5;7.5;7.5;1
1092;ALUNO-1093;7.5;7.5;7.5;1
1094;ALUNO-1095;7.5;8.1;7.5;1
1102;ALUNO-1103;4.375;5.6;5.0;0
1104;ALUNO-1105;7.5;6.3;4.375;3
1109;ALUNO-1110;7.5;7.5;7.5;1
1122;ALUNO-1123;6.875;6.3;6.875;1
1126;ALUNO-1127;7.5;6.3;5.0;3
1127;ALUNO-1128;10.0;5.0;8.75;1
1129;ALUNO-1130;6.875;7.5;6.25;3
1135;ALUNO-1136;5.0;7.5;8.125;1
1140;ALUNO-1141;7.5;7.5;7.5;1
1149;ALUNO-1150;7.5;7.5;5.0;3
1155;ALUNO-1156;7.5;5.6;7.5;1
1158;ALUNO-1159;6.875;7.5;6.875;1
1160;ALUNO-1161;4.375;3.8;5.625;2
1164;ALUNO-1165;7.5;7.5;7.5;1
1166;ALUNO-1167;6.25;7.5;7.5;1
1167;ALUNO-1168;7.5;7.5;7.5;1
1169;ALUNO-1170;7.5;8.1;7.5;1
1170;ALUNO-1171;6.25;6.3;5.625;3
1173;ALUNO-1174;6.875;3.8;5.0;2
1175;ALUNO-1176;8.75;8.1;7.5;1
1180;ALUNO-1181;5.625;5.6;7.5;0
1189;ALUNO-1190;6.875;7.5;6.875;1
1190;ALUNO-1191;4.375;4.4;5.0;2
1194;ALUNO-1195;7.5;7.5;8.125;1
1214;ALUNO-1215;7.5;2.5;5.625;2
1216;ALUNO-1217;4.375;7.5;6.25;0
1218;ALUNO-1219;7.5;7.5;7.5;1
1222;ALUNO-1223;7.5;8.1;7.5;1
1225;ALUNO-1226;5.625;8.1;7.5;1
1229;ALUNO-1230;7.5;6.9;5.625;3
1230;ALUNO-1231;4.375;6.3;6.875;0
1236;ALUNO-1237;7.5;7.5;7.5;1
1243;ALUNO-1244;7.5;7.5;7.5;1
1247;ALUNO-1248;6.875;5.6;5.0;3
1249;ALUNO-1250;7.5;6.9;7.5;1
1250;ALUNO-1251;10.0;6.3;6.25;3
1259;ALUNO-1260;7.5;7.5;7.5;1
1263;ALUNO-1264;7.5;8.1;7.5;1
1274;ALUNO-1275;7.5;7.5;7.5;1
1277;ALUNO-1278;7.5;7.5;7.5;1
1284;ALUNO-1285;7.5;7.5;7.5;1
1286;ALUNO-1287;7.5;7.5;5.0;3
1288;ALUNO-1289;7.5;7.5;7.5;1
1291;ALUNO-1292;7.5;7.5;8.75;1
1297;ALUNO-1298;7.5;7.5;7.5;1
1318;ALUNO-1319;6.875;5.0;8.125;1
1322;ALUNO-1323;4.375;5.6;5.625;0
1323;ALUNO-1324;7.5;7.5;7.5;1
1337;ALUNO-1338;7.5;7.5;7.5;1
1342;ALUNO-1343;5.0;5.6;6.25;0
1347;ALUNO-1348;6.875;6.3;5.625;3
