;NOME;IEG_2020;IEG_2021;IEG_2022;cluster
791;ALUNO-792;8.5;5.8;6.184870621369477;1
793;ALUNO-794;9.6;7.5;9.791666666666666;3
795;ALUNO-796;9.8;6.7;6.406606678345809;1
806;ALUNO-807;10.0;10.0;10.0;3
810;ALUNO-811;7.4;8.3;7.866730970179244;1
813;ALUNO-814;9.4;5.0;8.237762237762238;1
816;ALUNO-817;9.5;7.5;7.73989898989899;1
819;ALUNO-820;8.3;6.1;8.131944444444445;1
822;ALUNO-823;9.4;7.1;9.320987654320987;1
823;ALUNO-824;8.0;10.0;6.060606060606061;3
824;ALUNO-825;4.5;2.8;5.579065150087494;2
827;ALUNO-828;8.2;7.5;4.845885093167702;1
828;ALUNO-829;8.2;3.9;8.249458874458874;0
829;ALUNO-830;10.0;7.8;9.241898148148149;3
830;ALUNO-831;10.0;10.0;9.104156712852363;3
834;ALUNO-835;7.9;5.4;6.182121971595657;1
839;ALUNO-840;10.0;8.3;8.485838779956426;3
847;ALUNO-848;8.3;7.9;7.1875;1
849;ALUNO-850;9.7;7.5;7.776784067859118;1
850;ALUNO-851;10.0;9.6;9.682539682539682;3
854;ALUNO-855;7.6;7.1;7.6875;1
857;ALUNO-858;9.7;10.0;8.39898935980926;3
860;ALUNO-861;8.8;8.3;6.278011204481793;1
861;ALUNO-862;9.5;9.6;9.16278166278166;3
865;ALUNO-866;9.7;10.0;9.72943722943723;3
871;ALUNO-872;8.1;2.2;5.727513227513228;0
876;ALUNO-877;8.3;7.5;6.607954545454545;1
885;ALUNO-886;10.0;10.0;9.666666666666666;3
888;ALUNO-889;8.7;8.3;8.513866737550948;3
901;ALUNO-902;10.0;10.0;8.765931923826662;3
902;ALUNO-903;9.2;10.0;9.382716049382717;3
908;ALUNO-909;6.3;5.4;8.54812337421033;1
909;ALUNO-910;0.8;7.8;4.16078431372549;2
910;ALUNO-911;8.1;6.9;7.675756420035596;1
915;ALUNO-916;8.7;9.7;10.0;3
918;ALUNO-919;6.0;3.9;4.027450980392157;2
921;ALUNO-922;8.7;6.7;8.458333333333334;1
922;ALUNO-923;10.0;8.3;8.076998050682262;3
925;ALUNO-926;9.5;7.9;6.416701505016722;1
926;ALUNO-927;8.0;8.8;7.466161616161616;3
929;ALUNO-930;9.1;8.3;9.641304347826086;3
930;ALUNO-931;10.0;9.6;6.948621553884712;3
931;ALUNO-932;9.1;5.8;5.207123159068239;1
936;ALUNO-937;9.4;8.3;7.32051282051282;1
943;ALUNO-944;2.6;4.7;2.917572463768116;2
947;ALUNO-948;8.9;6.4;5.78487460815047;1
956;ALUNO-957;9.2;7.5;9.19753086419753;3
957;ALUNO-958;9.5;8.1;8.801282051282051;3
960;ALUNO-961;9.4;7.5;9.012345679012345;3
963;ALUNO-964;8.1;5.4;8.203282828282827;1
982;ALUNO-983;9.9;7.5;9.16005291005291;3
983;ALUNO-984;4.3;0.4;5.952380952380953;0
988;ALUNO-989;9.6;3.3;7.395197395197396;0
990;ALUNO-991;7.9;5.4;9.285714285714285;1
992;ALUNO-993;8.3;3.6;6.281197786131997;0
993;ALUNO-994;9.4;7.5;8.240384615384615;1
995;ALUNO-996;7.3;5.8;8.174985933606623;1
996;ALUNO-997;9.6;10.0;9.206349206349206;3
1001;ALUNO-1002;9.4;8.3;7.515756302521009;3
1003;ALUNO-1004;10.0;10.0;9.547511312217194;3
1009;ALUNO-1010;9.9;10.0;8.292972459639126;3
1013;ALUNO-1014;8.6;8.3;7.425925925925926;1
1014;ALUNO-1015;7.2;8.9;8.928571428571427;3
1016;ALUNO-1017;8.8;7.2;9.05864681295716;1
1021;ALUNO-1022;9.9;9.2;9.605072463768115;3
1027;ALUNO-1028;9.1;5.4;6.666666666666668;1
1028;ALUNO-1029;8.7;7.9;8.915214902057008;3
1030;ALUNO-1031;10.0;10.0;10.0;3
1033;ALUNO-1034;8.5;9.2;9.490392648287385;3
1050;ALUNO-1051;2.8;1.7;7.1875;0
1066;ALUNO-1067;10.0;10.0;8.892921960072595;3
1069;ALUNO-1070;10.0;9.6;8.070175438596491;3
1071;ALUNO-1072;8.3;5.3;3.81578947368421;2
1074;ALUNO-1075;9.8;7.2;9.580419580419582;3
1077;ALUNO-1078;8.0;1.7;7.662464985994397;0
1083;ALUNO-1084;10.0;9.6;8.932367149758454;3
1084;ALUNO-1085;5.5;7.5;6.25;2
1089;ALUNO-1090;4.6;8.8;5.481481481481482;2
1092;ALUNO-1093;9.1;7.2;7.370098039215687;1
1094;ALUNO-1095;10.0;9.2;9.666666666666666;3
1102;ALUNO-1103;8.9;2.9;7.442630898513252;0
1104;ALUNO-1105;9.4;6.3;8.505050505050505;1
1109;ALUNO-1110;7.7;5.4;6.966300131667912;1
1122;ALUNO-1123;8.7;8.6;9.201754385964913;3
1126;ALUNO-1127;8.2;7.8;9.736842105263158;3
1127;ALUNO-1128;5.5;8.9;9.056712962962962;3
1129;ALUNO-1130;9.7;10.0;9.907407407407408;3
1135;ALUNO-1136;7.2;9.2;8.088984204793029;3
1140;ALUNO-1141;7.0;5.0;4.647331154684096;2
1149;ALUNO-1150;8.8;8.8;8.771929824561404;3
1155;ALUNO-1156;9.0;5.3;6.168615866891729;1
1158;ALUNO-1159;9.9;8.3;9.00661079649251;3
1160;ALUNO-1161;7.8;6.1;7.333072100313479;1
1164;ALUNO-1165;9.9;8.6;6.449675324675325;1
1166;ALUNO-1167;8.7;6.3;8.887667887667888;1
1167;ALUNO-1168;8.5;9.6;8.27689594356261;3
1169;ALUNO-1170;8.3;1.3;6.009891879457097;0
1170;ALUNO-1171;9.5;8.9;9.895833333333334;3
1173;ALUNO-1174;7.0;7.2;5.366847826086957;2
1175;ALUNO-1176;8.0;6.9;8.940746753246753;1
1180;ALUNO-1181;10.0;9.6;9.444444444444445;3
1189;ALUNO-1190;9.6;8.8;7.413690476190476;3
1190;ALUNO-1191;9.5;2.5;9.333333333333334;0
1194;ALUNO-1195;8.8;8.6;9.419934640522875;3
1214;ALUNO-1215;9.5;10.0;10.0;3
1216;ALUNO-1217;8.8;8.6;7.775967329428265;3
1218;ALUNO-1219;9.7;7.5;8.36904761904762;1
1222;ALUNO-1223;8.6;8.3;6.862082362082362;1
1225;ALUNO-1226;8.1;8.3;6.826368076368077;1
1229;ALUNO-1230;9.7;8.6;9.788793103448276;3
1230;ALUNO-1231;7.0;1.7;5.698729582577132;0
1236;ALUNO-1237;8.3;2.2;5.604166666666667;0
1243;ALUNO-1244;8.9;8.8;7.962962962962963;3
1247;ALUNO-1248;9.2;3.9;0.0;2
1249;ALUNO-1250;5.0;5.8;6.22254004576659;2
1250;ALUNO-1251;6.7;7.2;8.975313479623823;1
1259;ALUNO-1260;8.9;5.0;7.3;1
1263;ALUNO-1264;8.4;4.2;8.974358974358974;1
1274;ALUNO-1275;8.5;9.6;9.487179487179487;3
1277;ALUNO-1278;10.0;4.2;7.602657004830919;1
1284;ALUNO-1285;9.9;10.0;7.704585537918872;3
1286;ALUNO-1287;10.0;10.0;8.87056471764118;3
1288;ALUNO-1289;7.1;7.9;8.75;1
1291;ALUNO-1292;9.4;9.7;9.37363834422658;3
1297;ALUNO-1298;9.9;8.3;8.48792270531401;3
1318;ALUNO-1319;9.2;8.3;9.054621848739496;3
1322;ALUNO-1323;9.1;8.8;9.092813051146384;3
1323;ALUNO-1324;7.9;8.8;6.721583370190181;1
1337;ALUNO-1338;8.1;2.1;8.480125262446176;0
1342;ALUNO-1343;8.0;1.3;6.470435347628331;0
1347;ALUNO-1348;7.1;8.6;9.178030303030305;3
